2016-03-03 14:32:07:  power=819
2016-03-03 14:32:07:  power level=PP333
2016-03-03 14:32:08:  Power response [PP333]
2016-03-03 16:08:00:  level=0
2016-03-03 16:08:00:  power=204
2016-03-03 16:08:00:  power level=PP0CC
2016-03-03 16:08:01:  Power response [PP0CC]
2016-03-03 16:59:56:  level=0
2016-03-03 16:59:56:  power=1638
2016-03-03 16:59:56:  power level=PP666
2016-03-03 16:59:57:  Power response [PP666]
2016-03-03 17:15:27:  Are we on? [S2]
2016-03-03 17:15:27:  Turning laser OFF.
2016-03-03 17:15:33:  Turning laser ON.
2016-03-03 17:15:33:  Enable response: [LONOK]
2016-03-03 17:15:34:  L2 response: [>]
2016-03-03 17:15:35:  Enable-internal peak power response: [IPO]
2016-03-03 17:15:35:  MF response [MF]
2016-03-03 17:15:36:  Are we on? [S2]
2016-03-03 17:16:00:  Are we on? [S2]
2016-03-03 17:16:00:  Turning laser OFF.
2016-03-03 17:20:22:  Turning laser ON.
2016-03-03 17:20:23:  Enable response: [LONOK]
2016-03-03 17:20:23:  L2 response: [>]
2016-03-03 17:20:24:  Enable-internal peak power response: [IPO]
2016-03-03 17:20:25:  MF response [MF]
2016-03-03 17:20:25:  Are we on? [S2]
2016-03-03 17:25:26:  level=0
2016-03-03 17:25:26:  power=204
2016-03-03 17:25:26:  power level=PP0CC
2016-03-03 17:25:27:  Power response [PP0CC]
2016-03-03 17:29:28:  Are we on? [S2]
2016-03-03 17:29:28:  Turning laser OFF.
2016-03-03 17:32:20:  Turning laser ON.
2016-03-03 17:32:21:  Enable response: [LONOK]
2016-03-03 17:32:22:  L2 response: [>]
2016-03-03 17:32:22:  Enable-internal peak power response: [IPO]
2016-03-03 17:32:23:  MF response [MF]
2016-03-03 17:32:24:  Are we on? [S2]
2016-03-03 17:32:32:  level=0
2016-03-03 17:32:32:  power=1638
2016-03-03 17:32:32:  power level=PP666
2016-03-03 17:32:32:  Power response [PP666]
2016-03-03 17:41:48:  level=0
2016-03-03 17:41:48:  power=204
2016-03-03 17:41:48:  power level=PP0CC
2016-03-03 17:41:49:  Power response [PP0CC]
2016-03-03 17:42:39:  Are we on? [S2]
2016-03-03 17:42:39:  Turning laser OFF.
2016-03-03 17:46:14:  Turning laser ON.
2016-03-03 17:46:14:  Enable response: [LONOK]
2016-03-03 17:46:15:  L2 response: [>]
2016-03-03 17:46:16:  Enable-internal peak power response: [IPO]
2016-03-03 17:46:16:  MF response [MF]
2016-03-03 17:46:17:  Are we on? [S2]
2016-03-03 17:46:38:  level=0
2016-03-03 17:46:38:  power=409
2016-03-03 17:46:38:  power level=PP199
2016-03-03 17:46:39:  Power response [PP199]
2016-03-03 17:50:09:  Turning laser OFF.
2016-03-03 19:13:53:  Are we on? [S1]
2016-03-03 19:14:03:  level=0
2016-03-03 19:14:03:  power=409
2016-03-03 19:14:03:  power level=PP199
2016-03-03 19:14:04:  Power response [PP199]
2016-03-03 19:14:34:  Turning laser ON.
2016-03-03 19:14:34:  Enable response: [MC 488  200 TA]
2016-03-03 19:14:35:  L2 response: [LONOK]
2016-03-03 19:14:35:  Enable-internal peak power response: []
2016-03-03 19:14:36:  MF response [IPO]
2016-03-03 19:14:37:  Are we on? [MC 488  200 TA]
2016-03-03 19:14:38:  Failed to turn on. Current status: MF
2016-03-03 19:16:25:  Turning laser OFF.
